date,start ,end,sea_breeze,Elevation,Radar,Comments
2020-06-28,18:02:00,,Y,149ft,KDIX,Front passing over sea breeze eastward- faint-line sea breeze going westward
2020-06-29,16:04:00,,Y,149ft,KDIX,Fine-line very visible (~20 dBZ) does that mean it’s a stronger sea breeze or just carrying more insects?
2020-06-30,18:02:00,,Y,149ft,KDIX,Front passing over sea breeze south-eastward with the faint-line sea breeze going north-westward
2020-07-01,17:03:00,,Y,149ft,KDIX,"Front passing east, underlying sea breeze propagating towards the west"
2020-07-02,16:29:00,,Y,149ft,KDIX,Clear fine-line
2020-07-03,17:29:00,,Y,149ft,KDIX,Clear fine-line
2020-07-04,18:36:00,,Y,149ft,KDIX,"Could possibly be a front, but most likely is a breeze"
2020-07-05,17:33:00,,Y,149ft,KDIX,SB propagating whole lower portion of NJ even from delaware bay
2020-07-06,16:00:00,,Y,149ft,KDIX,"Very interesting phenomenon, the sea breeze converges with front on west side, and is pushed back outwards?"
2020-07-07,,,N,149ft,KDIX,
2020-07-08,,,N,149ft,KDIX,
2020-07-09,,,N,149ft,KDIX,
2020-07-10,,,N,149ft,KDIX,Tropical storm fay is blocking sea breeze
2020-07-11,21:03:00,,Y,149ft,KDIX,Slight fine-line sea breeze by Central Jersey could be something else
2020-07-12,17:00:00,,Y,149ft,KDIX,"Starts by southern NJ and slowly moves towards the northwest, staying close to shoreline (Signs of an upwelling event?)"
2020-07-13,14:30:00,,Y,149ft,KDIX,Sea breeze stays by southern shore (possible upwelling event?)
2020-07-14,19:32:00,,Y,149ft,KDIX,"?? It might not be as dBZ is ~20, possible front on central jersey, but could be a sea breeze "
2020-07-15,16:28:00,,Y,149ft,KDIX,"It seems to be a sea breeze, need model confirmation though if it is most likely an upwelling event as it stays near shore"
2020-07-16,16:06:00,,Y,149ft,KDIX,?? Small sea breeze south of Great Bay?
2020-07-17,20:29:00,,Y,149ft,KDIX,Starts late in the day by central NJ
2020-07-18,15:31:00,,Y,149ft,KDIX,Strong fine-line sea breeze that moves pretty far inland suggesting no upwelling
2020-07-19,15:35:00,,Y,149ft,KDIX,Develops and moves inland (No upwelling?)
2020-07-20,21:00:00,,N,149ft,KDIX,It might be a sea breeze but it’s an east-west fine line that moves northward so not sure
2020-07-21,19:02:00,,Y,149ft,KDIX,?? It seems like a sea breeze but it propagates later in the evening and doesn’t form until far in so would it constitute as a landbreeze?
2020-07-22,17:32:00,,Y,149ft,KDIX,Sea breeze forms but is most likely weakened by the front that is pushing against it?
2020-07-23,,,N,149ft,KDIX,
2020-07-24,,,N,149ft,KDIX,Theres some precipitation and it doesn't look like there is any sea breeze under?
2020-07-25,16:06:00,,Y,149ft,KDIX,It strengthens then moves pretty far inland
2020-07-26,16:30:00,,Y,149ft,KDIX,"It starts at shoreline, moves in a little then it stays stationary after that. "
2020-07-27,13:28:00,,Y,149ft,KDIX,"It seems like a sea breeze south of Great Bay ,but it stays stationary and weakens so maybe its not?"
2020-07-28,,,N,149ft,KDIX,
2020-07-29,16:30:00,,Y,149ft,KDIX,Develops and stays stationary until 19:00 where it starts to be pushed back to shoreline with front?
2020-07-30,16:33:00,,Y,149ft,KDIX,"Sea breeze moves inland, "
2020-07-31,,,N,149ft,KDIX,Seems to be a storm that is blocking propagation
2020-08-01,,,N,149ft,KDIX,Not sure based off data earlier in the day and there is also missing data from 18-21Z
2020-08-02,17:31:00,,Y,149ft,KDIX,"Small propagation at the lower coastline portion, moves inland past radar KDIX"
2020-08-03,17:01:00,,Y,149ft,KDIX,"Intense sea breeze but stays close to the shoreline, signs of an upwelling event"
2020-08-04,,,N,149ft,KDIX,Large storm moving northwards blocks sb propagation
2020-08-05,20:34:00,,Y,149ft,KDIX,"Fine-line is most apparent at this time, it stays by the shoreline, indicating a possible upwelling event"
2020-08-06,18:04:00,,Y,149ft,KDIX,"Sea breeze stays on shoreline, perhaps weakened due to heavy precipitation?"
2020-08-07,,,N,149ft,KDIX,
2020-08-08,,,N,149ft,KDIX,
2020-08-09,15:06:00,,Y,149ft,KDIX,"Propagates past KDIX, no upwelling event? "
2020-08-10,15:28:00,,Y,149ft,KDIX,"fine-line moves past KDIX, no upwelling event?"
2020-08-11,,,N,149ft,KDIX,
2020-08-12,15:02:00,,Y,149ft,KDIX,"Theres a vague fine-line on the coastline, theres also a storm after"
2020-08-13,,,N,149ft,KDIX,"Storm throughout the day, no apparent sea breeze propagation"
2020-08-14,20:33:00,,N,149ft,KDIX,Possible sea breeze but looks more like a front to the eye
2020-08-15,,,N,149ft,KDIX,There might not be a sea breeze present as there is a south-east front passing 
2020-08-16,,,N,149ft,KDIX,"There is no discernible sea breeze, storm passing over is too large"
2020-08-17,16:02:00,,Y,149ft,KDIX,"Weak sea breeze doesn't become a fine-line 17:32, passing by KDIX "
2020-08-18,17:05:00,,Y,149ft,KDIX,No signs of upwelling due to fine-line propagating further inland than KDIX
2020-08-19,,,N,149ft,KDIX,"?? Not sure if there was a sea breeze, due to large southwesterly weather front passing.. May be a weak sb at 18:30 (confirm with model data)"
2020-08-20,16:23:00,,Y,149ft,KDIX,"Don’t have earlier due to gaps in data, but there is definitely a sea breeze propagating and moving past KDIX "
2020-08-21,17:34:00,,Y,149ft,KDIX,"Weak sea breeze, it propagates in the upper portion of central jersey"
2020-08-22,,,N,149ft,KDIX,
2020-08-23,,,N,149ft,KDIX,
2020-08-24,,,N,149ft,KDIX,
2020-08-25,,,N,149ft,KDIX,
2020-08-26,,,N,149ft,KDIX,
2020-08-27,,,N,149ft,KDIX,
2020-08-28,18:33:00,,Y,149ft,KDIX,"There is a passing front over PA, but there is still a discernible fine-line sea breeze on the coast of NJ"
2020-08-29,,,N,149ft,KDIX,"Front passing over NJ, not sure about sea breeze event"
2020-08-30,,,N,149ft,KDIX,
2020-08-31,17:30:00,,Y,149ft,KDIX,Possible sea breeze south of Great Bay but looks more like a front to the eye
2021-06-01,18:01:00,00:30:00,Y,149ft,KDIX,"Thin fine-line propagation stays stationary on shoreline, then moves inland past KDIX"
2021-06-02,,,N,149ft,KDIX,"Westerly precipitation covers shoreline, but I see no sb"
2021-06-03,18:32:00,21:33:00,N,149ft,KDIX,"Seems like Sea breeze forms early in the day, later on a derecho passes through the area storms contaminate"
2021-06-04,15:29:00,20:34:00,Y,149ft,KDIX,Very clear sea breeze forms earlier on and pushes far inland 
2021-06-05,15:30:00,22:28:00,Y,149ft,KDIX,"Develops early on in the day, but it definitely gets more apparent later in the day"
2021-06-06,20:03:00,23:53:00,Y,149ft,KDIX,Precipitation and possible land breeze at 22:31
2021-06-07,15:01:00,00:30:00,Y,149ft,KDIX,"Seems to be a sea breeze but I am not definitely sure about it, need model confirmation"
2021-06-08,15:30:00,19:01:00,Y,149ft,KDIX,"Storms contaminate in evening, seems like breeze in early afternoon"
2021-06-09,15:29:00,20:31:00,Y,149ft,KDIX,Storms come in and contaminate but in between likely a sea breeze
2021-06-10,13:50:00,,N,149ft,KDIX,
2021-06-11,16:01:00,,Y,149ft,KDIX,"Very thin sea breeze, it stays stationary close to shorline north of Great Bay"
2021-06-12,17:01:00,,Y,149ft,KDIX,"Strong propagation, stays between shoreline and KDIX"
2021-06-13,16:04:00,,Y,149ft,KDIX,Apparent sea breeze
2021-06-14,18:02:00,,Y,149ft,KDIX,"The sea breeze forms later in the day, this definitely was one of the farthest inland sea breezes that I have seen going into PA"
2021-06-15,,,N,149ft,KDIX,It may be a sea breeze but im not too sure                
2021-06-16,17:32:00,22:29:00,Y,149ft,KDIX,"It moves weird way but looks like sea breeze, it goes almost up the coastline "
2021-06-17,15:29:00,00:29:00,Y,149ft,KDIX,Sea breeze goes from coast line towards KDIX
2021-06-18,,,N,149ft,KDIX,
2021-06-19,,,N,149ft,KDIX,May be a sea breeze at 2030 but too far inland for me to be sure
2021-06-20,14:01:00,23:59:00,Y,149ft,KDIX,Sea breeze goes from coast line past KDIX
2021-06-21,,,N,149ft,KDIX,Could be a sea breeze but more likely effects of thunderstorm 
2021-06-22,,,N,149ft,KDIX,Storm contaminates
2021-06-23,15:30:00,00:33:00,Y,149ft,KDIX,Fine line moves all the way to PA
2021-06-24,,,N,149ft,KDIX,
2021-06-25,16:31:00,23:32:00,Y,149ft,KDIX,"Fully forms at this time into a fine-line, gets pushed very far inland into PA perhaps due to wx front passing"
2021-06-26,,,N,149ft,KDIX,"Not sure this is the same as last year, no data between 3 and 22Z, no indications in afternoon of sea breeze but still possibility is there"
2021-06-27,15:00:00,20:03:00,Y,149ft,KDIX,Thin/weak fine-line but definitely visible
2021-06-28,15:05:00,22:59:00,Y,149ft,KDIX,"Strong propagation, and it travels in a fine-line towards KDIX"
2021-06-29,14:31:00,23:55:00,Y,149ft,KDIX,"Starts early on in day and becomes very strong, and gets pushed between shore and KDIX"
2021-06-30,17:00:00,00:01:00,Y,149ft,KDIX,Goes past KDIX against the precipitation front
2021-07-01,14:31:00,19:31:00,Y,149ft,KDIX,"Large thunderstorms throughout the day they hit PA/NJ border around 15Z, sea breeze forms as storms move eastward. Hard to see when it ends as storms contaminate"
2021-07-02,,,N,149ft,KDIX,"Storms contaminate, too hard to tell if there are any sea breezes, but due to conditions unlikely."
2021-07-03,,,N,149ft,KDIX,
2021-07-04,16:26:00,19:33:00,Y,149ft,KDIX,Strong sea breeze earlier in the day it seems to be break up by 1933Z when storms cross the sea breeze 
2021-07-05,17:06:00,23:53:00,Y,149ft,KDIX,Doesn't propagate into the fine line up until 1804Z at which point it stays this way up until almost the end of the day. 
2021-07-06,16:04:00,22:28:00,Y,149ft,KDIX,Very faint/weak fine line that stays pretty close to the shoreline
2021-07-07,16:30:00,22:00:00,Y,149ft,KDIX,Sea Breeze propagates pretty far inland
2021-07-08,20:04:00,21:33:00,N,149ft,KDIX,"It is very hard to tell with the storms contaminating, but there is a very small fine- line that gets close to KDIX by 21:33 its a southwesterly wind"
2021-07-09,21:00:00,23:00:00,Y,149ft,KDIX,It seems to be a mid-afternoon sea breeze starting at 21:00 and lasting right up until thunderstorms pass over it.
2021-07-10,15:32:00,00:32:00,Y,149ft,KDIX,"Strong sea breeze seems to start to form into fine-line orientation around 1532Z, by 1701Z is in the classic parallel to shoreline configuration, by 22Z looks to have strengthened going against small bursts of tstorms. It reaches PA at 24Z."
2021-07-11,,,N,149ft,KDIX,
2021-07-12,16:06:00,19:29:00,Y,149ft,KDIX,"It is only very apparent north of Great Bay, storm from the west collides with sea breeze with the storms westerly outflow becoming dominant against sea breeze."
2021-07-13,,,N,149ft,KDIX,1605Z there seems to either be outflow from a system at 1503Z or it could be a sea breeze that developed on southern shores that moves towards DE bay? 
2021-07-14,15:28:00,22:01:00,Y,149ft,KDIX,"Strong fine-line almost down entire shoreline, moves towards KDIX until it meets the outflow from tstorm where it weakens and gets overtaken"
2021-07-15,14:34:00,22:01:00,Y,149ft,KDIX,"Very strong sea breeze, fine-line breaks down at 2129Z "
2021-07-16,14:01:00,23:32:00,Y,149ft,KDIX,"Fully forms at 1630Z, stays stationary near the shore until it nears its breakdown "
2021-07-17,15:02:00,20:33:00,Y,149ft,KDIX,"I can see the sea breeze clearly in the south, whereas in the north its a bit muddled, before tstorms contaminate at 2101Z where the sea breeze is cut off."
2021-07-18,,,N,149ft,KDIX,
2021-07-19,12:04:00,14:01:00,Y,149ft,KDIX,"I would consider this a sea breeze, it is very abnormal however as it is so early in the day."
2021-07-20,15:04:00,23:55:00,Y,149ft,KDIX,"Strong sea breeze that forms in the surrounding of Great Bay, progressively moving inland and almost towards northern shore"
2021-07-21,,,N,149ft,KDIX,"Storms contaminate, too hard to tell if there are any sea breezes, but due to conditions unlikely."
2021-07-22,15:32:00,23:01:00,Y,149ft,KDIX,SB stays near shore until 21Z where it then starts to dissapate.
2021-07-23,14:30:00,22:58:00,Y,149ft,KDIX,There is a definite sea breeze 
2021-07-24,15:02:00,23:56:00,Y,149ft,KDIX,"The sb propagates pretty far inland, moving all the way past PA "
2021-07-25,19:29:00,23:00:00,Y,149ft,KDIX,"There is a sb close to the shore, staying stationary and weak"
2021-07-26,15:28:00,23:54:00,Y,149ft,KDIX,"Weak sea breeze in the beginning of the day, it then moves slowly towards KDIX until it weakens at 23:54"
2021-07-27,16:29:00,23:03:00,Y,149ft,KDIX,Moves inland and weakens as it travels
2021-07-28,15:01:00,00:31:00,Y,149ft,KDIX,"Starts off as a thick line at shore, as it moves inland it progressively thins out and becomes more of fine-line until it dies out in PA"
2021-07-29,,,N,149ft,KDIX,"Storms contaminate later in the day, earlier on there seems to be a stationary sb directly on the coastline (cannot say for certain). "
2021-07-30,,,N,149ft,KDIX,I see something from 1927Z - 2205Z it might be a seabreeze that moves inland albeit north-east?
2021-07-31,12:01:00,23:59:00,Y,149ft,KDIX,I believe that in the early morning 12Z there is a sea breeze on the coast and it doesn’t start moving inland until later in the day?
2021-08-01,,,N,149ft,KDIX,"Storms contaminate, I see something along the shore but storms quickly pass over obstructing view"
2021-08-02,22:03:00,00:27:00,Y,149ft,KDIX,"Small sea breeze only on northern shores, "
2021-08-03,18:00:00,23:30:00,Y,149ft,KDIX,"May be out of range of KDIX, seems to start around KDIX moving westward"
2021-08-04,,,N,149ft,KDIX,"Storms contaminate, what seems to be a sea breeze is most likely storm outflow"
2021-08-05,19:32:00,00:02:00,Y,149ft,KDIX,Moves past KDIX to border 
2021-08-06,15:34:00,23:02:00,Y,149ft,KDIX,Wide sea breeze starts coast moves past KDIX and weakens before hitting border
2021-08-07,,,N,149ft,KDIX,"No data between 1615Z - 1832Z, file loading error may be corrupt? Only allows for differential reflectivity "
2021-08-08,,,N,149ft,KDIX,"Storms persist on coastline, and contaminate, too difficult to tell if there is a sb."
2021-08-09,16:04:00,21:31:00,Y,149ft,KDIX,"Early morning/afternoon sea breeze, dies out with evening storms coming in"
2021-08-10,17:00:00,22:32:00,Y,149ft,KDIX,"Sea breeze on southern shores, moves inland and clashes with storms where it gets overtaken"
2021-08-11,17:01:00,19:31:00,Y,149ft,KDIX,"Faint sea breeze detected on northern shore, seemingly shortlived"
2021-08-12,16:01:00,23:00:00,Y,149ft,KDIX,Stationary sb
2021-08-13,17:06:00,23:01:00,Y,149ft,KDIX,"Muddled radar in beginning, it differentiates at 1706Z then moves in land past KDIX, until incoming storms"
2021-08-14,19:01:00,20:32:00,Y,149ft,KDIX,"There is an opposing front of most likely precip that goes against the sea breeze, perhaps that’s why there is a shortlived sb in northern area"
2021-08-15,20:05:00,23:54:00,Y,149ft,KDIX,Very strong sea breeze (20 dbz) wondering if this is perhaps just precipitation being carried in the sea breeze?
2021-08-16,,,N,149ft,KDIX,"Not very sure if this constitutes as a sea breeze, less than 50% doubt so I will say no for now, subject to change."
2021-08-17,,,N,149ft,KDIX,"Storms contaminate, there is a mass on southern shores, but the shape does not tell me if it’s a sb"
2021-08-18,,,N,149ft,KDIX,"Storms from the west, don't see a sb"
2021-08-19,23:02:00,23:56:00,Y,149ft,KDIX,"There is a very small fine-line sb, it is shortlived and relatively late in the day. "
2021-08-20,,,N,149ft,KDIX,Heavy tstorms contaminate
2021-08-21,,,N,149ft,KDIX,Heavy precipitation contaminate
2021-08-22,,,N,149ft,KDIX,Heavy tstorms contaminate
2021-08-23,,,N,149ft,KDIX,Heavy precipitation contaminate
2021-08-24,16:27:00,22:29:00,Y,149ft,KDIX,Sea breeze moves northward inland
2021-08-25,16:29:00,23:02:00,Y,149ft,KDIX,"High reflectivity in the area, sb starts off spanning entire eastern shoreline, then moves inland becoming well defined."
2021-08-26,14:04:00,22:28:00,Y,149ft,KDIX,Moves past KDIX to PA border where it dies out.
2021-08-27,14:34:00,21:31:00,Y,149ft,KDIX,Storms contaminate and the sb dissapears underneath tstorms traveling east.
2021-08-28,,,N,149ft,KDIX,"Too many storms, conditions probably not right for sea breeze"
2021-08-29,,,N,149ft,KDIX,"Storms coming in from sea, cannot tell if there are any sea breezes propagating underneath, none that I saw after."
2021-08-30,15:03:00,21:30:00,Y,149ft,KDIX,"Stationary sb, it moves against incoming tstorms which overtake it."
2021-08-31,16:29:00,19:30:00,Y,149ft,KDIX,"There is a small sea breeze close to the shoreline, it is stationary and realtively shortlived."
2022-06-01,,,N,149ft,KDIX,
2022-06-02,15:33:00,21:28:00,Y,149ft,KDIX,"Storms coming in from west, can't see past 2128Z to see if sea breeze continues, it does move towards KDIX."
2022-06-03,,,N,149ft,KDIX,"Breeze starts near station, it is stationary so not sure if it’s a land breeze. 1933-2357Z"
2022-06-04,16:00:00,00:27:00,Y,149ft,KDIX,"Sea breeze moves past KDIX, strong propagation cant see when it ends due to cloudiness at the end "
2022-06-05,20:28:00,01:01:00,Y,149ft,KDIX,"Weak sea breeze not apparent until its above KDIX, may be an angle issue. "
2022-06-06,16:35:00,23:01:00,Y,149ft,KDIX,"Weak sea breeze stays by Raritan Bay, then moves inland past KDIX"
2022-06-07,,,N,149ft,KDIX,"Storms contaminate, it seems like theres a weak stationary sea breze but can not be sure."
2022-06-08,16:59:00,01:02:00,Y,149ft,KDIX,Sea breeze breaks off the northern part but the southern part continues going past KDIX.
2022-06-09,,,N,149ft,KDIX,"Missing data, 2300Z to 1400Z (Next day)"
2022-06-10,17:32:00,21:02:00,Y,149ft,KDIX,"Small sb on southern coast, stays stationary and weakens gradually. There might be a secondary sea breeze 23:02Z- 0:32Z"
2022-06-11,14:29:00,17:03:00,Y,149ft,KDIX,Sea breeze visible until storm moves over it at 1700Z then storm contaminates.
2022-06-12,,,N,149ft,KDIX,Storms contaminate
2022-06-13,16:31:00,23:54:00,Y,149ft,KDIX,"SB starts and stays between KDIX and coast, until later on where it seems like it goes against an opposing land breeze and gets pushed back to shoreline."
2022-06-14,20:30:00,00:31:00,Y,149ft,KDIX,"Starts on southern shoreline, moves past KDIX and spreads out until it dies out"
2022-06-15,16:02:00,23:32:00,Y,149ft,KDIX,"Sea breeze starts by DE bay, moving NW and joining with another airmass? West of KDIX moving through PA"
2022-06-16,21:03:00,23:02:00,Y,149ft,KDIX,"Storms contaminate, it seems like theres a weak stationary sea breeze on shoreline."
2022-06-17,15:02:00,17:01:00,Y,149ft,KDIX,Small breeze stays stationary until oncoming land breezes push it out to sea
2022-06-18,,,N,149ft,KDIX,
2022-06-19,,,N,149ft,KDIX,Strange outflow from 20Z -24Z
2022-06-20,20:03:00,01:05:00,Y,149ft,KDIX,"Same strange outflow again, but seeing a sea breeze going against it reaching KDIX"
2022-06-21,14:04:00,00:00:00,Y,149ft,KDIX,"Breeze breaks in two, surviving the storms passing, and gets past KDIX"
2022-06-22,,,N,149ft,KDIX,Storms contaminate coming in from the east. There might be a sea breeze but more likely its storm outflow.
2022-06-23,,,N,149ft,KDIX,"Massive storm from west contaminates, possible sea breeze after 21:29Z "
2022-06-24,15:32:00,00:33:00,Y,149ft,KDIX,Very apparent fine line propagating along entirety of coast
2022-06-25,15:34:00,01:02:00,Y,149ft,KDIX,"Another very clear sea breeze, moving inland past KDIX. It seems to engulf a land breeze moving against it."
2022-06-26,14:29:00,23:58:00,Y,149ft,KDIX,"Strong propagation, very clear fine line moving in land"
2022-06-27,,,N,149ft,KDIX,Hard to see too many storms contaminating
2022-06-28,14:02:00,00:32:00,Y,149ft,KDIX,"Radar picks up thick air mass on lower portion of shore, it shortly propagates into fine line of sea breeze by 16:29Z. "
2022-06-29,15:04:00,00:00:00,Y,149ft,KDIX,"interesting pattern, it starts as fine line along entirety of coast and shrinks but stays in similar formation moving  toward PA."
2022-06-30,14:34:00,00:32:00,Y,149ft,KDIX,"This sea breeze wraps around all the way around to DE Bay, and moves inland."
2022-07-01,14:01:00,00:02:00,Y,149ft,KDIX,"Stationary for first 4 hours then moves inland, where it weakens"
2022-07-02,16:04:00,23:02:00,Y,149ft,KDIX,Can only see until this time before storms contaminate.
2022-07-03,,,N,149ft,KDIX,"Definitely see a land breeze but it reverses direction moving east, until around 20Z it starts moving westward."
2022-07-04,14:29:00,00:32:00,Y,149ft,KDIX,Well formed sea breeze almost gets to PA border
2022-07-05,15:02:00,19:01:00,Y,149ft,KDIX,Storms contaminate after 19Z
2022-07-06,,,N,149ft,KDIX,
2022-07-07,,,N,149ft,KDIX,
2022-07-08,17:02:00,23:30:00,Y,149ft,KDIX,Storms coming in take over the sea breeze at 23:30Z
2022-07-09,,,N,149ft,KDIX,"Storms contaminate, can't tell if theres a sea breeze "
2022-07-10,15:28:00,23:00:00,Y,149ft,KDIX,It seems like theres a sea breeze based off the offshore reflectivity but it might have been missed by the radar? It appears behind KDIX and travels East with no visible origin.
2022-07-11,15:03:00,23:55:00,Y,149ft,KDIX,"Very faint sea breeze line, until 20:03Z where it strengthens and moves to PA border"
2022-07-12,15:32:00,00:02:00,Y,149ft,KDIX,"Stays stationary on coastline, until storms come in from west and weaken it."
2022-07-13,16:06:00,00:31:00,Y,149ft,KDIX,"Well defined sea breeze moves inland, spanning the entire shoreline. "
2022-07-14,16:03:00,23:32:00,Y,149ft,KDIX,"Sea breeze propagates in past station, where it crashes with oncoming wave."
2022-07-15,,,N,149ft,KDIX,Not sure there seems to be a sea breeze but it is far too inland. It might have propagated under scope of radar? 
2022-07-16,,,N,149ft,KDIX,"Storms contaminate, it seems like a sea breeze is there 17:02Z to 20:01Z "
2022-07-17,18:02:00,22:30:00,Y,149ft,KDIX,"Very faint line, but still evident."
2022-07-18,16:30:00,23:05:00,Y,149ft,KDIX,Visible until storms coming in.
2022-07-19,,,N,149ft,KDIX,
2022-07-20,15:31:00,00:28:00,Y,149ft,KDIX,Data between 11Z and 14Z not available. 
2022-07-21,15:05:00,21:32:00,Y,149ft,KDIX,"Oncoming front pushes against the sea breeze, which goes back to Atlantic"
2022-07-22,14:03:00,23:56:00,Y,149ft,KDIX,"Very strong propagation of sea breeze, spanning the length of eastern shoreline makes it to KDIX, then is pushed back to coastline."
2022-07-23,15:04:00,23:56:00,Y,149ft,KDIX,"Another strong propagation, going all the way down shoreline to around DE bay."
2022-07-24,16:02:00,23:59:00,Y,149ft,KDIX,Sea breeze propagates past KDIX
2022-07-25,,,N,149ft,KDIX,Storms contaminate
2022-07-26,,,N,149ft,KDIX,"Storms contaminate, it seems like a sea breeze is there 17:02Z to 20:01Z "
2022-07-27,,,N,149ft,KDIX,"Really hard to read radar, but I see what could be a seabreeze at 22:31"
2022-07-28,15:02:00,22:31:00,Y,149ft,KDIX,"Very interesting wave like structure, and with oncoming land breeze it gets pushed out to sea."
2022-07-29,,,N,149ft,KDIX,Storms contaminate
2022-07-30,18:35:00,23:58:00,Y,149ft,KDIX,"Very late propagation of breeze, but it is thicker than a usual breeze. "
2022-07-31,,,N,149ft,KDIX,Seems to be a sea breeze early on but storms contaminate
2022-08-01,22:30:00,00:15:00,Y,149ft,KDIX,"Very small sea breeze around AC area, starts pretty late too "
2022-08-02,,,N,149ft,KDIX,
2022-08-03,17:30:00,00:18:00,Y,149ft,KDIX,"Breeze all along shore line, moves in and shrinks"
2022-08-04,14:01:00,23:30:00,Y,149ft,KDIX,Propagation starts along entire shoreline then shrinks as it moves in.
2022-08-05,,,N,149ft,KDIX,Storms contaminate
2022-08-06,,,N,149ft,KDIX,
2022-08-07,16:33:00,00:30:00,Y,149ft,KDIX,Very fine line 
2022-08-08,15:33:00,23:33:00,Y,149ft,KDIX,"Very fine line case again, this time it moves inland until it goes against incoming storm wave"
2022-08-09,,,N,149ft,KDIX,"Too hard to tell, need model confirmation"
2022-08-10,13:59:00,23:57:00,Y,149ft,KDIX,"This was more of a thicker sea breeze propagating, incoming storm in later hours but sea breeze makes it to PA"
2022-08-11,17:31:00,00:15:00,Y,149ft,KDIX,"Some storms early on, but sea breeze persists moving past KDIX"
2022-08-12,16:33:00,23:56:00,Y,149ft,KDIX,"Especially strong sea breeze, green dbZ, clashing against what looks like a land breeze"
2022-08-13,15:04:00,00:14:00,Y,149ft,KDIX,"Strong sea breeze, moves past KDIX"
2022-08-14,,,N,149ft,KDIX,It seems like a sea breeze but cannot see underneath the noise 
2022-08-15,,,N,149ft,KDIX,
2022-08-16,,,N,149ft,KDIX,Too noisy can't tell if it’s a sea breeze
2022-08-17,16:04:00,23:01:00,Y,149ft,KDIX,"Stays close to shoreline, then weakens around 7"
2022-08-18,14:30:00,23:32:00,Y,149ft,KDIX,"Strong sea breeze on coast, moving inland where it weakens. Makes it to PA border."
2022-08-19,,,N,149ft,KDIX,Very noisy radar data not sure.
2022-08-20,,,N,149ft,KDIX,
2022-08-21,,,N,149ft,KDIX,
2022-08-22,,,N,149ft,KDIX,Storms contaminate
2022-08-23,16:04:00,21:32:00,Y,149ft,KDIX,"Stays close to shoreline, then is pushed offshore."
2022-08-24,16:29:00,23:27:00,Y,149ft,KDIX,"Strong sea breeze, moves past KDIX"
2022-08-25,16:03:00,23:59:00,Y,149ft,KDIX,"Very strong sea breeze, might be the strongest ive ever seen. Goes all the way to PA "
2022-08-26,14:32:00,23:00:00,Y,149ft,KDIX,"Storms over, it only makes it to KDIX."
2022-08-27,,,N,149ft,KDIX,There seems like a sea breeze but it starts behind KDIX. Not sure if that would constitute as one?
2022-08-28,,,N,149ft,KDIX,
2022-08-29,,,N,149ft,KDIX,"Another day where it sems like it’s a sea breeze, but it forms behind KDIX?"
2022-08-30,,,N,149ft,KDIX,Storms contaminate
2022-08-31,,,N,149ft,KDIX,
